,Unnamed: 0,Date,Bulletin,Obs Code,Residual RA,Residual Dec,Diagonal Residual
7910,7910,3/4/2022,2022-E78 ,654,0.0,0.1,0.005
7926,7926,3/8/2022,2022-E123,654,0.1,0.1,0.01
7929,7929,3/8/2022,2022-E123,654,0.0,0.0,0.0
7932,7932,3/8/2022,2022-E123,654,0.1,0.1,0.01
7980,7980,3/12/2022,2022-E183,654,0.2,0.2,0.04
7983,7983,3/12/2022,2022-E183,654,0.2,0.1,0.025
7995,7995,3/12/2022,2022-E183,654,0.3,0.1,0.05
7999,7999,3/12/2022,2022-E184,654,0.0,0.1,0.005
8007,8007,3/12/2022,2022-E184,654,0.2,0.0,0.02
8011,8011,3/12/2022,2022-E184,654,0.2,0.0,0.02
8027,8027,3/12/2022,2022-E197,654,0.2,0.1,0.025
8028,8028,3/12/2022,2022-E197,654,0.0,0.0,0.0
8030,8030,3/12/2022,2022-E197,654,0.1,0.0,0.005
8083,8083,3/13/2022,2022-E200,654,0.1,0.1,0.01
8086,8086,3/13/2022,2022-E200,654,0.0,0.2,0.02
8089,8089,3/13/2022,2022-E200,654,0.1,0.5,0.13
8092,8092,3/23/2022,2022-F23 ,654,0.3,0.0,0.045
8100,8100,3/23/2022,2022-F23 ,654,0.1,0.1,0.01
8103,8103,3/23/2022,2022-F23 ,654,0.1,0.0,0.005
8152,8152,3/24/2022,2022-F31 ,654,0.1,0.2,0.025
8155,8155,3/24/2022,2022-F31 ,654,0.1,0.1,0.01
8158,8158,3/24/2022,2022-F31 ,654,0.1,0.1,0.01
8201,8201,3/27/2022,2022-F78 ,654,0.1,0.1,0.01
8204,8204,3/27/2022,2022-F78 ,654,0.1,0.0,0.005
8207,8207,3/27/2022,2022-F78 ,654,0.1,0.0,0.005
8229,8229,3/27/2022,2022-F83 ,654,0.1,0.1,0.01
8282,8282,3/27/2022,2022-F83 ,654,0.1,0.0,0.005
8285,8285,3/27/2022,2022-F98 ,654,1.2,0.1,0.725
8300,8300,3/27/2022,2022-F98 ,654,0.3,0.0,0.045
8303,8303,3/27/2022,2022-F98 ,654,0.1,0.1,0.01
8308,8308,4/2/2022,2022-G08 ,654,0.0,0.0,0.0
8311,8311,4/2/2022,2022-G08 ,654,0.1,0.1,0.01
8314,8314,4/2/2022,2022-G08 ,654,0.0,0.0,0.0
8367,8367,4/2/2022,2022-G27 ,654,0.1,0.0,0.005
8370,8370,4/2/2022,2022-G27 ,654,0.1,0.0,0.005
8373,8373,4/2/2022,2022-G27 ,654,0.1,0.0,0.005
8383,8383,4/2/2022,2022-G31 ,654,0.0,0.2,0.02
8395,8395,4/2/2022,2022-G31 ,654,0.0,0.2,0.02
8436,8436,4/2/2022,2022-G31 ,654,0.0,0.2,0.02
8442,8442,4/4/2022,2022-G60 ,654,0.0,0.1,0.005
8457,8457,4/4/2022,2022-G60 ,654,0.2,0.2,0.04
8465,8465,4/4/2022,2022-G60 ,654,0.1,0.2,0.025
8481,8481,4/4/2022,2022-G65 ,654,0.6,0.0,0.18
8484,8484,4/4/2022,2022-G65 ,654,0.3,0.1,0.05
8487,8487,4/4/2022,2022-G65 ,654,0.6,0.4,0.26
8490,8490,4/4/2022,2022-G65 ,654,0.5,0.1,0.13
8518,8518,4/5/2022,2022-G69 ,654,0.1,0.0,0.005
8521,8521,4/5/2022,2022-G69 ,654,0.1,0.1,0.01
8533,8533,4/5/2022,2022-G69 ,654,0.4,0.1,0.085
8556,8556,4/5/2022,2022-G77 ,654,0.1,0.4,0.085
8559,8559,4/5/2022,2022-G77 ,654,0.2,0.1,0.025
8562,8562,4/5/2022,2022-G77 ,654,0.1,0.1,0.01
8609,8609,4/9/2022,2022-G131,654,0.1,0.1,0.01
8610,8610,4/9/2022,2022-G131,654,0.1,0.1,0.01
8612,8612,4/9/2022,2022-G131,654,0.1,0.1,0.01
8613,8613,4/9/2022,2022-G131,654,0.0,0.0,0.0
8615,8615,4/9/2022,2022-G131,654,0.1,0.1,0.01
8616,8616,4/9/2022,2022-G131,654,0.1,0.1,0.01
8644,8644,4/9/2022,2022-G136,654,0.2,0.0,0.02
8647,8647,4/9/2022,2022-G136,654,0.0,0.0,0.0
8650,8650,4/9/2022,2022-G136,654,0.1,0.0,0.005
8655,8655,4/10/2022,2022-G160,654,0.1,0.2,0.025
8658,8658,4/10/2022,2022-G160,654,0.0,0.1,0.005
8661,8661,4/10/2022,2022-G160,654,0.1,0.1,0.01
8696,8696,4/11/2022,2022-G162,654,0.0,0.1,0.005
8699,8699,4/11/2022,2022-G162,654,0.1,0.2,0.025
8702,8702,4/11/2022,2022-G162,654,0.0,0.0,0.0
8705,8705,4/11/2022,2022-G162,654,0.1,0.1,0.01
8712,8712,4/24/2022,2022-H45 ,654,0.2,0.2,0.04
8715,8715,4/24/2022,2022-H45 ,654,0.1,0.1,0.01
8718,8718,4/24/2022,2022-H45 ,654,0.1,0.0,0.005
8741,8741,4/24/2022,2022-H47 ,654,0.0,0.0,0.0
8753,8753,4/24/2022,2022-H47 ,654,0.1,0.1,0.01
8758,8758,4/24/2022,2022-H47 ,654,0.1,0.2,0.025
8788,8788,4/25/2022,2022-H52 ,654,0.0,0.0,0.0
8791,8791,4/25/2022,2022-H52 ,654,0.1,0.1,0.01
8794,8794,4/25/2022,2022-H52 ,654,0.3,0.0,0.045
8801,8801,4/25/2022,2022-H57 ,654,0.0,0.2,0.02
8813,8813,4/25/2022,2022-H57 ,654,0.1,0.2,0.025
8815,8815,4/25/2022,2022-H57 ,654,0.1,0.2,0.025
8833,8833,4/25/2022,2022-H58 ,654,0.1,0.1,0.01
8845,8845,4/25/2022,2022-H58 ,654,0.1,0.0,0.005
8848,8848,4/25/2022,2022-H58 ,654,0.1,0.1,0.01
8863,8863,4/29/2022,2022-H115,654,0.0,0.1,0.005
8866,8866,4/29/2022,2022-H115,654,0.3,0.1,0.05
8869,8869,4/29/2022,2022-H115,654,0.1,0.1,0.01
8880,8880,4/30/2022,2022-H126,654,0.2,0.1,0.025
8883,8883,4/30/2022,2022-H126,654,0.1,0.1,0.01
8886,8886,4/30/2022,2022-H126,654,0.0,0.0,0.0
8893,8893,4/30/2022,2022-H132,654,0.0,0.0,0.0
8896,8896,4/30/2022,2022-H132,654,0.1,0.0,0.005
8912,8912,4/30/2022,2022-H132,654,0.0,0.0,0.0
8917,8917,5/2/2022,2022-J11 ,654,0.1,0.0,0.005
8918,8918,5/2/2022,2022-J11 ,654,0.1,0.0,0.005
8920,8920,5/2/2022,2022-J11 ,654,0.3,0.1,0.05
8935,8935,5/2/2022,2022-J13 ,654,0.1,0.0,0.005
8950,8950,5/2/2022,2022-J13 ,654,0.1,0.0,0.005
8953,8953,5/2/2022,2022-J13 ,654,0.2,0.0,0.02
8976,8976,5/2/2022,2022-J15 ,654,0.1,0.0,0.005
8979,8979,5/2/2022,2022-J15 ,654,0.1,0.0,0.005
8982,8982,5/2/2022,2022-J15 ,654,0.0,0.0,0.0
8987,8987,5/4/2022,2022-J32 ,654,0.1,0.0,0.005
8990,8990,5/4/2022,2022-J32 ,654,0.1,0.0,0.005
8993,8993,5/4/2022,2022-J32 ,654,0.1,0.1,0.01
9013,9013,5/5/2022,2022-J34 ,654,0.1,0.0,0.005
9031,9031,5/5/2022,2022-J34 ,654,0.0,0.2,0.02
9048,9048,5/5/2022,2022-J34 ,654,0.1,0.2,0.025
9053,9053,5/7/2022,2022-J48 ,654,0.1,0.0,0.005
9056,9056,5/7/2022,2022-J48 ,654,0.3,0.1,0.05
9061,9061,5/7/2022,2022-J48 ,654,0.2,0.1,0.025
9096,9096,5/8/2022,2022-J56 ,654,0.3,0.1,0.05
9099,9099,5/8/2022,2022-J56 ,654,0.2,0.2,0.04
9102,9102,5/8/2022,2022-J56 ,654,0.1,0.2,0.025
9112,9112,5/8/2022,2022-J57 ,654,0.1,0.0,0.005
9124,9124,5/8/2022,2022-J57 ,654,0.2,0.0,0.02
9139,9139,5/8/2022,2022-J57 ,654,0.0,0.3,0.045
9146,9146,5/8/2022,2022-J59 ,654,0.0,0.0,0.0
9149,9149,5/8/2022,2022-J59 ,654,0.1,0.1,0.01
9152,9152,5/8/2022,2022-J59 ,654,0.5,0.7,0.37
9174,9174,5/23/2022,2022-K46 ,654,0.1,0.1,0.01
9177,9177,5/23/2022,2022-K46 ,654,0.0,0.0,0.0
9189,9189,5/23/2022,2022-K46 ,654,0.6,0.5,0.305
9201,9201,5/23/2022,2022-K51 ,654,0.1,0.1,0.01
9204,9204,5/23/2022,2022-K51 ,654,0.1,0.3,0.05
9207,9207,5/23/2022,2022-K51 ,654,0.0,0.1,0.005
9233,9233,5/25/2022,2022-K86 ,654,0.1,0.0,0.005
9242,9242,5/25/2022,2022-K86 ,654,0.0,0.0,0.0
9251,9251,5/25/2022,2022-K86 ,654,0.1,0.0,0.005
9283,9283,5/25/2022,2022-K89 ,654,0.1,0.1,0.01
9286,9286,5/25/2022,2022-K89 ,654,0.0,0.2,0.02
9289,9289,5/25/2022,2022-K89 ,654,0.0,0.1,0.005
9298,9298,5/27/2022,2022-K113,654,0.2,0.0,0.02
9313,9313,5/27/2022,2022-K113,654,0.1,0.0,0.005
9316,9316,5/27/2022,2022-K113,654,0.0,0.0,0.0
9345,9345,5/27/2022,2022-K115,654,0.3,0.0,0.045
9348,9348,5/27/2022,2022-K115,654,0.1,0.1,0.01
9351,9351,5/27/2022,2022-K115,654,0.2,0.2,0.04
9359,9359,5/27/2022,2022-K121,654,0.1,0.1,0.01
9365,9365,5/27/2022,2022-K121,654,0.0,0.0,0.0
9371,9371,5/27/2022,2022-K121,654,0.0,0.0,0.0
9380,9380,5/27/2022,2022-K121,654,0.1,0.1,0.01
9400,9400,5/29/2022,2022-K151,654,0.1,0.1,0.01
9403,9403,5/29/2022,2022-K151,654,0.1,0.1,0.01
9406,9406,5/29/2022,2022-K151,654,0.0,0.0,0.0
9409,9409,5/29/2022,2022-K151,654,0.1,0.2,0.025
9468,9468,5/30/2022,2022-K157,654,0.1,0.4,0.085
9471,9471,5/30/2022,2022-K157,654,0.3,0.2,0.065
9476,9476,5/31/2022,2022-K177,654,0.0,0.2,0.02
9491,9491,5/31/2022,2022-K177,654,0.1,0.2,0.025
9495,9495,5/31/2022,2022-K177,654,0.0,0.1,0.005
9498,9498,6/1/2022,2022-L01 ,654,0.0,0.1,0.005
9518,9518,6/1/2022,2022-L01 ,654,0.0,0.2,0.02
9527,9527,6/1/2022,2022-L01 ,654,0.1,0.2,0.025
9529,9529,6/1/2022,2022-L01 ,654,0.1,0.2,0.025
9532,9532,6/2/2022,2022-L08 ,654,0.2,0.1,0.025
9535,9535,6/2/2022,2022-L08 ,654,0.1,0.1,0.01
9540,9540,6/2/2022,2022-L08 ,654,0.1,0.2,0.025
9543,9543,6/2/2022,2022-L08 ,654,0.1,0.1,0.01
9546,9546,6/2/2022,2022-L08 ,654,0.4,0.2,0.1
9548,9548,6/2/2022,2022-L08 ,654,0.0,0.0,0.0
9551,9551,6/2/2022,2022-L09 ,654,0.2,0.0,0.02
9571,9571,6/2/2022,2022-L09 ,654,0.0,0.2,0.02
9572,9572,6/2/2022,2022-L09 ,654,0.0,0.2,0.02
9574,9574,6/2/2022,2022-L09 ,654,0.1,0.2,0.025
9575,9575,6/2/2022,2022-L09 ,654,0.1,0.2,0.025
9577,9577,6/2/2022,2022-L09 ,654,0.1,0.0,0.005
9578,9578,6/2/2022,2022-L09 ,654,0.1,0.2,0.025
9580,9580,6/2/2022,2022-L09 ,654,0.2,0.5,0.145
9582,9582,6/2/2022,2022-L09 ,654,0.5,0.3,0.1699999999999999
9585,9585,6/2/2022,2022-L10 ,654,0.5,0.2,0.145
9602,9602,6/2/2022,2022-L10 ,654,0.0,0.1,0.005
9605,9605,6/2/2022,2022-L10 ,654,0.2,0.2,0.04
9608,9608,6/2/2022,2022-L10 ,654,0.2,0.1,0.025
9610,9610,6/2/2022,2022-L10 ,654,0.6,0.1,0.185
9616,9616,6/4/2022,2022-L25 ,654,0.2,0.1,0.025
9619,9619,6/4/2022,2022-L25 ,654,0.1,0.0,0.005
9622,9622,6/4/2022,2022-L25 ,654,0.0,0.0,0.0
9683,9683,6/4/2022,2022-L27 ,654,0.4,0.4,0.16
9686,9686,6/4/2022,2022-L27 ,654,0.1,0.1,0.01
9726,9726,6/5/2022,2022-L31 ,654,0.0,0.0,0.0
9729,9729,6/5/2022,2022-L31 ,654,0.1,0.1,0.01
9748,9748,6/5/2022,2022-L34 ,654,1.2,0.3,0.765
9751,9751,6/5/2022,2022-L34 ,654,0.2,0.1,0.025
9754,9754,6/5/2022,2022-L34 ,654,0.1,0.1,0.01
9780,9780,6/5/2022,2022-L35 ,654,0.1,0.1,0.01
9783,9783,6/5/2022,2022-L35 ,654,0.1,0.1,0.01
9786,9786,6/5/2022,2022-L35 ,654,0.1,0.0,0.005
9828,9828,6/6/2022,2022-L43 ,654,0.1,0.1,0.01
9831,9831,6/6/2022,2022-L43 ,654,0.1,0.0,0.005
9834,9834,6/6/2022,2022-L43 ,654,0.2,0.1,0.025
9839,9839,6/6/2022,2022-L45 ,654,0.2,0.0,0.02
9842,9842,6/6/2022,2022-L45 ,654,0.1,0.1,0.01
9845,9845,6/6/2022,2022-L45 ,654,0.1,0.0,0.005
9848,9848,6/6/2022,2022-L45 ,654,0.1,0.0,0.005
9907,9907,6/6/2022,2022-L46 ,654,0.1,0.1,0.01
9922,9922,6/6/2022,2022-L46 ,654,0.0,0.0,0.0
9925,9925,6/6/2022,2022-L46 ,654,0.0,0.0,0.0
9928,9928,6/7/2022,2022-L51 ,654,0.1,0.0,0.005
9937,9937,6/7/2022,2022-L51 ,654,0.0,0.1,0.005
9948,9948,6/7/2022,2022-L51 ,654,0.0,0.1,0.005
9972,9972,6/7/2022,2022-L64 ,654,0.0,0.0,0.0
9975,9975,6/7/2022,2022-L64 ,654,0.0,0.0,0.0
9987,9987,6/7/2022,2022-L64 ,654,0.0,0.0,0.0
10014,10014,6/7/2022,2022-L65 ,654,0.1,0.0,0.005
10017,10017,6/7/2022,2022-L65 ,654,0.0,0.0,0.0
10020,10020,6/7/2022,2022-L65 ,654,0.0,0.2,0.02
10023,10023,6/7/2022,2022-L65 ,654,0.2,0.1,0.025
10039,10039,6/8/2022,2022-L71 ,654,0.2,0.1,0.025
