Date,Bulletin,Obs Code,Residual RA,Residual Dec
1/25/2022,2022-B34 ,204,0.1,0.2
1/25/2022,2022-B34 ,K88,0.3,0.5
1/25/2022,2022-B34 ,L01,0.0,0.4
1/25/2022,2022-B34 ,204,0.0,0.2
1/25/2022,2022-B34 ,104,0.1,0.0
1/25/2022,2022-B34 ,L01,0.1,0.1
1/25/2022,2022-B34 ,204,0.2,0.0
1/25/2022,2022-B34 ,B49,1.0,1.8
1/25/2022,2022-B34 ,W34,1.7,1.2
1/25/2022,2022-B34 ,C95,0.4,0.1
1/25/2022,2022-B34 ,B49,0.4,0.8
1/25/2022,2022-B34 ,W34,1.9,1.3
1/25/2022,2022-B34 ,C95,0.1,0.3
1/25/2022,2022-B34 ,104,0.0,0.4
1/25/2022,2022-B34 ,W34,1.1,0.2
1/25/2022,2022-B34 ,C95,0.1,0.2
1/25/2022,2022-B34 ,B49,0.1,0.8
1/25/2022,2022-B34 ,W34,0.1,0.2
1/25/2022,2022-B34 ,B49,0.2,0.5
1/25/2022,2022-B34 ,I93,0.3,0.1
1/25/2022,2022-B34 ,W34,0.2,0.1
1/25/2022,2022-B34 ,B49,0.7,0.6
1/25/2022,2022-B34 ,B49,0.1,0.5
1/25/2022,2022-B34 ,W34,0.1,0.0
1/25/2022,2022-B35 ,G96,0.1,0.0
1/25/2022,2022-B35 ,734,0.8,0.4
1/25/2022,2022-B35 ,Z84,0.5,0.2
1/25/2022,2022-B35 ,G96,0.1,0.0
1/25/2022,2022-B35 ,734,0.1,0.1
1/25/2022,2022-B35 ,Z84,0.2,0.6
1/25/2022,2022-B35 ,F52,0.1,0.0
1/25/2022,2022-B35 ,734,0.3,0.1
1/25/2022,2022-B35 ,Z84,0.1,0.3
1/25/2022,2022-B35 ,F52,0.0,0.0
1/25/2022,2022-B35 ,654,0.1,0.0
1/25/2022,2022-B35 ,587,0.9,1.1
1/25/2022,2022-B35 ,F52,0.0,0.1
1/25/2022,2022-B35 ,654,0.1,0.3
1/25/2022,2022-B35 ,587,0.8,0.3
1/25/2022,2022-B35 ,F52,0.0,0.1
1/25/2022,2022-B35 ,654,0.1,0.2
1/25/2022,2022-B35 ,L06,0.7,0.2
1/25/2022,2022-B35 ,F52,0.0,0.0
1/25/2022,2022-B35 ,858,0.0,0.2
1/25/2022,2022-B35 ,L06,0.0,0.7
1/25/2022,2022-B35 ,F52,0.0,0.0
1/25/2022,2022-B35 ,858,0.4,0.2
1/25/2022,2022-B35 ,L06,0.3,0.7
1/25/2022,2022-B35 ,P93,0.3,0.3
1/25/2022,2022-B35 ,I93,0.0,0.0
1/25/2022,2022-B35 ,L06,0.1,0.5
1/25/2022,2022-B35 ,P93,0.1,0.2
1/25/2022,2022-B35 ,I93,0.0,0.8
1/25/2022,2022-B35 ,H36,0.1,0.4
1/25/2022,2022-B35 ,P93,0.2,0.4
1/25/2022,2022-B35 ,L80,0.8,1.0
1/25/2022,2022-B35 ,H36,0.2,0.5
1/25/2022,2022-B35 ,P93,0.3,0.1
1/25/2022,2022-B35 ,I93,0.3,0.0
1/25/2022,2022-B35 ,H36,0.3,0.4
1/25/2022,2022-B35 ,L01,0.5,0.1
1/25/2022,2022-B35 ,L80,0.0,1.2
1/25/2022,2022-B35 ,H36,0.5,0.3
1/25/2022,2022-B35 ,L01,0.4,1.0
1/25/2022,2022-B35 ,204,0.1,0.2
1/25/2022,2022-B35 ,A77,1.3,1.9
1/25/2022,2022-B35 ,L01,0.3,1.1
1/25/2022,2022-B35 ,204,0.6,0.3
1/25/2022,2022-B35 ,A77,1.3,0.8
1/25/2022,2022-B35 ,L01,0.5,0.1
1/25/2022,2022-B35 ,Z99,0.9,0.1
1/25/2022,2022-B35 ,104,0.1,0.4
1/25/2022,2022-B35 ,L01,0.4,0.3
1/25/2022,2022-B35 ,Z99,0.6,0.1
1/25/2022,2022-B35 ,104,0.2,0.1
1/25/2022,2022-B35 ,691,0.5,0.1
1/25/2022,2022-B35 ,291,0.1,0.2
1/25/2022,2022-B35 ,104,0.1,0.1
1/25/2022,2022-B35 ,691,0.2,0.3
1/25/2022,2022-B35 ,291,0.1,0.0
1/25/2022,2022-B35 ,C95,0.5,0.3
1/25/2022,2022-B35 ,691,0.0,0.0
1/25/2022,2022-B35 ,291,0.1,0.1
1/25/2022,2022-B35 ,C95,0.4,0.1
