bulletins2/18/U16.txt:                           Revision to MPEC 2015-T97
bulletins2/18/U17.txt:                           Revision to MPEC 2014-U30
bulletins2/18/U48.txt:                          Revision to MPEC 2016-L106
bulletins2/18/U52.txt:                           Revision to MPEC 2007-V08
bulletins2/18/U63.txt:                           Revision to MPEC 2004-C56
bulletins2/18/U64.txt:                           Revision to MPEC 1998-G10
bulletins2/18/U65.txt:                           Revision to MPEC 2003-Y79
bulletins2/18/U72.txt:                           Revision to MPEC 2015-W58
bulletins2/18/U73.txt:                           Revision to MPEC 2016-Y38
bulletins2/18/U75.txt:                           Revision to MPEC 2009-R63
bulletins2/18/U77.txt:                           Revision to MPEC 2015-W47
bulletins2/18/U89.txt:                           Revision to MPEC 2016-L64
bulletins2/18/V03.txt:                           Revision to MPEC 2007-U82
bulletins2/18/V04.txt:                           Revision to MPEC 2005-U76
bulletins2/18/V17.txt:                           Revision to MPEC 2015-F65
bulletins2/18/V30.txt:                           Revision to MPEC 2009-U88
bulletins2/18/V31.txt:                           Revision to MPEC 2013-L43
bulletins2/18/V32.txt:                           Revision to MPEC 2015-M08
bulletins2/18/V44.txt:                           Revision to MPEC 2011-G87
bulletins2/18/V48.txt:                           Revision to MPEC 2017-H45
bulletins2/18/V50.txt:                           Revision to MPEC 2003-T25
bulletins2/18/V51.txt:                           Revision to MPEC 2012-V32
bulletins2/18/V59.txt:                           Revision to MPEC 2016-V76
bulletins2/18/V60.txt:                           Revision to MPEC 2015-X50
bulletins2/18/V61.txt:                           Revision to MPEC 2015-V79
bulletins2/18/V77.txt:                           Revision to MPEC 2011-A55
bulletins2/18/VC6.txt:                           Revision to MPEC 2013-X04
bulletins2/18/VC7.txt:                           Revision to MPEC 2014-Y85
bulletins2/18/VC8.txt:                           Revision to MPEC 2015-B98
bulletins2/18/VD0.txt:                           Revision to MPEC 2018-V54
bulletins2/18/VD2.txt:                           Revision to MPEC 2008-W49
bulletins2/18/VD3.txt:                           Revision to MPEC 2009-W36
bulletins2/18/VD4.txt:                           Revision to MPEC 2003-W66
bulletins2/18/VG5.txt:                           Revision to MPEC 2014-U42
bulletins2/18/W01.txt:                           Revision to MPEC 2013-U40
bulletins2/18/W05.txt:                           Revision to MPEC 2008-W68
bulletins2/18/W16.txt:                           Revision to MPEC 2013-V71
bulletins2/18/W26.txt:                           Revision to MPEC 2011-N28
bulletins2/18/W28.txt:                           Revision to MPEC 2016-V67
bulletins2/18/W29.txt:                           Revision to MPEC 2001-X31
bulletins2/18/W39.txt:                           Revision to MPEC 2000-D34
bulletins2/18/W40.txt:                           Revision to MPEC 2015-W34
bulletins2/18/W61.txt:                           Revision to MPEC 2005-E16
bulletins2/18/W62.txt:                          Revision to MPEC 2016-O273
bulletins2/18/W63.txt:                           Revision to MPEC 2018-D87
bulletins2/18/W64.txt:                           Revision to MPEC 2008-W34
bulletins2/18/W72.txt:                          Revision to MPEC 2017-S198
bulletins2/18/W73.txt:                           Revision to MPEC 2014-W87
bulletins2/18/X01.txt:                           Revision to MPEC 2017-S61
bulletins2/18/X25.txt:                           Revision to MPEC 2017-B66
bulletins2/18/X26.txt:                          Revision to MPEC 2017-B148
bulletins2/18/X41.txt:                           Revision to MPEC 2015-J42
bulletins2/18/X45.txt:                           Revision to MPEC 2009-X39
bulletins2/18/X50.txt:                           Revision to MPEC 2013-B46
bulletins2/18/X67.txt:                           Revision to MPEC 2002-X42
bulletins2/18/X69.txt:                           Revision to MPEC 2001-W67
bulletins2/18/X75.txt:                           Revision to MPEC 2011-M46
bulletins2/18/Y01.txt:                           Revision to MPEC 2013-V34
bulletins2/18/Y02.txt:                           Revision to MPEC 2002-Y19
bulletins2/18/Y11.txt:                           Revision to MPEC 2018-F13
bulletins2/18/Y32.txt:                           Revision to MPEC 2015-B55
bulletins2/18/Y33.txt:                           Revision to MPEC 2002-R73
bulletins2/18/Y43.txt:                           Revision to MPEC 2002-A32
bulletins2/18/Y58.txt:                          Revision to MPEC 2016-E114
bulletins2/18/Y61.txt:                           Revision to MPEC 2016-S54
bulletins2/18/Y68.txt:                           Revision to MPEC 2017-P37
bulletins2/18/Y72.txt:                           Revision to MPEC 2014-Q02
bulletins2/18/Y76.txt:                           Revision to MPEC 2017-N32
bulletins2/18/Y77.txt:                           Revision to MPEC 2017-V18
bulletins2/18/Y81.txt:                           Revision to MPEC 2013-B54
bulletins2/18/Y82.txt:                           Revision to MPEC 2017-A53
bulletins2/18/Y83.txt:                          Revision to MPEC 2018-B118
bulletins2/18/Y85.txt:                           Revision to MPEC 2014-N33
bulletins2/18/Y86.txt:                          Revision to MPEC 2016-P128
bulletins2/18/Y87.txt:                          Revision to MPEC 2017-S202
bulletins2/18/Y88.txt:                           Revision to MPEC 2017-U01
bulletins2/18/Y89.txt:                           Revision to MPEC 2017-W28
bulletins2/18/Y97.txt:                           Revision to MPEC 2008-A15
bulletins2/18/Y98.txt:                           Revision to MPEC 2008-S37
bulletins2/18/Y99.txt:                           Revision to MPEC 2018-S37
bulletins2/18/YA0.txt:                           Revision to MPEC 2011-P41
bulletins2/19/A01.txt:                           Revision to MPEC 2015-X08
bulletins2/19/A03.txt:                           Revision to MPEC 2013-T52
bulletins2/19/A04.txt:                           Revision to MPEC 2014-S28
bulletins2/19/A05.txt:                           Revision to MPEC 2005-V39
bulletins2/19/A06.txt:                           Revision to MPEC 2016-S69
bulletins2/19/A07.txt:                           Revision to MPEC 2016-R58
bulletins2/19/A21.txt:                           Revision to MPEC 2018-A48
bulletins2/19/A30.txt:                           Revision to MPEC 2004-V61
bulletins2/19/A32.txt:                           Revision to MPEC 2018-M13
bulletins2/19/A33.txt:                           Revision to MPEC 2018-Q12
bulletins2/19/A44.txt:                           Revision to MPEC 2016-J88
bulletins2/19/A51.txt:                           Revision to MPEC 2013-Y37
bulletins2/19/A97.txt:                           Revision to MPEC 2019-A88
bulletins2/19/A98.txt:                           Revision to MPEC 2006-B78
bulletins2/19/A99.txt:                           Revision to MPEC 2014-Y05
bulletins2/19/AA0.txt:                           Revision to MPEC 2017-A38
bulletins2/19/AA2.txt:                          Revision to MPEC 2016-A144
bulletins2/19/AB2.txt:                           Revision to MPEC 2017-J24
bulletins2/19/AB3.txt:                           Revision to MPEC 2003-Y34
bulletins2/19/AB8.txt:                           Revision to MPEC 2014-K91
bulletins2/19/AC0.txt:                           Revision to MPEC 2007-H35
bulletins2/19/AC1.txt:                           Revision to MPEC 2016-B04
bulletins2/19/AE3.txt:                          Revision to MPEC 2014-Q100
bulletins2/19/AE4.txt:                           Revision to MPEC 2015-B93
bulletins2/19/AE5.txt:                          Revision to MPEC 2016-O399
bulletins2/19/AE6.txt:                           Revision to MPEC 2017-Y79
bulletins2/19/AE7.txt:                           Revision to MPEC 2017-Y93
bulletins2/19/AE8.txt:                          Revision to MPEC 2017-Y129
bulletins2/19/AG5.txt:                           Revision to MPEC 2016-Q02
bulletins2/19/AG7.txt:                           Revision to MPEC 2016-C15
bulletins2/19/AI7.txt:                           Revision to MPEC 2018-G13
bulletins2/19/AJ0.txt:                           Revision to MPEC 2006-C30
bulletins2/19/AJ8.txt:                          Revision to MPEC 2017-U267
bulletins2/19/AK0.txt:                           Revision to MPEC 2017-X02
bulletins2/19/AK1.txt:                          Revision to MPEC 2017-X111
bulletins2/19/AK2.txt:                           Revision to MPEC 2017-Y11
bulletins2/19/AK3.txt:                           Revision to MPEC 2017-T04
bulletins2/19/AK4.txt:                           Revision to MPEC 2017-T62
bulletins2/19/AK5.txt:                          Revision to MPEC 2017-S217
bulletins2/19/AK6.txt:                          Revision to MPEC 2017-S201
bulletins2/19/AK7.txt:                           Revision to MPEC 2017-S28
bulletins2/19/AK8.txt:                           Revision to MPEC 2016-P68
bulletins2/19/AL0.txt:                           Revision to MPEC 2017-C87
bulletins2/19/AL1.txt:                           Revision to MPEC 2017-C50
bulletins2/19/AL2.txt:                           Revision to MPEC 2017-D85
bulletins2/19/AL3.txt:                           Revision to MPEC 2017-E39
bulletins2/19/AL4.txt:                           Revision to MPEC 2017-G08
bulletins2/19/AL5.txt:                           Revision to MPEC 2017-N19
bulletins2/19/AL6.txt:                           Revision to MPEC 2017-O15
bulletins2/19/AM1.txt:                           Revision to MPEC 2016-L76
bulletins2/19/AM2.txt:                           Revision to MPEC 2016-U99
bulletins2/19/AM3.txt:                           Revision to MPEC 2016-V04
bulletins2/19/AM4.txt:                           Revision to MPEC 2016-W77
bulletins2/19/AM5.txt:                           Revision to MPEC 2016-Y57
bulletins2/19/AN5.txt:                           Revision to MPEC 2012-C20
bulletins2/19/B01.txt:                           Revision to MPEC 2017-L68
bulletins2/19/B02.txt:                           Revision to MPEC 2012-X42
bulletins2/19/B03.txt:                           Revision to MPEC 2013-F02
bulletins2/19/B04.txt:                           Revision to MPEC 2013-W44
bulletins2/19/B05.txt:                           Revision to MPEC 2015-D84
bulletins2/19/B06.txt:                           Revision to MPEC 2015-J09
bulletins2/19/B07.txt:                           Revision to MPEC 2015-R20
bulletins2/19/B08.txt:                           Revision to MPEC 2015-S76
bulletins2/19/B09.txt:                          Revision to MPEC 2015-T133
bulletins2/19/B10.txt:                           Revision to MPEC 2018-L48
bulletins2/19/B11.txt:                           Revision to MPEC 2018-M46
bulletins2/19/B12.txt:                           Revision to MPEC 2014-Q23
bulletins2/19/B23.txt:                           Revision to MPEC 2011-C09
bulletins2/19/B47.txt:                           Revision to MPEC 2018-F06
bulletins2/19/B63.txt:                           Revision to MPEC 2003-A58
bulletins2/19/B80.txt:                           Revision to MPEC 2012-C08
bulletins2/19/B81.txt:                          Revision to MPEC 2015-B164
bulletins2/19/B82.txt:                           Revision to MPEC 2014-W86
bulletins2/19/B83.txt:                           Revision to MPEC 2017-V09
bulletins2/19/B84.txt:                          Revision to MPEC 2018-G118
bulletins2/19/B85.txt:                           Revision to MPEC 2018-M11
bulletins2/19/B86.txt:                           Revision to MPEC 2018-N85
bulletins2/19/B89.txt:                           Revision to MPEC 2016-B26
bulletins2/19/B90.txt:                           Revision to MPEC 2014-F17
bulletins2/19/BB6.txt:                           Revision to MPEC 2011-A11
bulletins2/19/BD0.txt:                           Revision to MPEC 2013-D45
bulletins2/19/BD1.txt:                           Revision to MPEC 2014-A77
bulletins2/19/BD2.txt:                           Revision to MPEC 2016-M13
bulletins2/19/BF0.txt:                           Revision to MPEC 2012-V82
bulletins2/19/BF1.txt:                           Revision to MPEC 2015-X20
bulletins2/19/BF7.txt:                           Revision to MPEC 2012-O47
